id,smiles
70198,S(CC(=O)N)CC(=O)N1c2c(cc(C(C)(C)C)cc2)CC1
70199,S(=O)([O-])(=Nc1c(C)cc(C)cc1)c1sc(-c2n[nH]cc2)cc1
70200,Clc1cc(C)c(N=S(=O)([O-])c2oc(-c3n[nH]c(C)c3)cc2)cc1
70201,S(=O)([O-])(=Nc1ncccc1)c1cc2NC(=O)C[C@@H](C)Sc2cc1
70202,Clc1c(C(=O)N2C[C@@H](CO)[C@H](c3ccncc3)C2)cc(F)cc1
70203,Clc1ccc([C@H]2N(c3n[nH]nn3)C(=O)C(=O)[C@@H]2c2ccccc2)cc1
70204,O=C(NC[C@@H](O)c1n(C)ccc1)NCCCc1ccccc1
70205,FC(F)(F)[C@](O)(CNC(=O)NCCCc1ccccc1)c1ccccc1
70206,O=C(NC[C@](O)(CCc1ccccc1)C)C(=O)NCc1cc2OCOc2cc1
70207,O=C(Nc1scc(CC(=O)NCc2cnccc2)n1)Nc1cc(C)ccc1
70208,O=C(NCCc1c2c([nH]c1)cccc2)C(=O)Nc1ccc(OC)cc1
70209,Fc1ccc(NC(=O)C(=O)NCCc2c3c([nH]c2)cccc3)cc1
70210,O=C(Nc1scc(CC(=O)NCc2ccccc2)n1)Nc1ccc(C)cc1
70211,Fc1c(F)ccc(NC(=O)CNC(=O)[C@H](NC(=O)OCc2ccccc2)C)c1
70212,Fc1ccc(C(=O)CCC(=O)OCC(=O)NC(=O)NCc2ccccc2)cc1
70213,O=C(NCC(=O)NCC(=O)Nc1c(C)c(C)ccc1)NCc1ccccc1
70214,O=C(N)[C@@H](NC(=O)CCCc1[nH]c2c(n1)cccc2)c1ccccc1
70215,O=C(NCc1cn(Cc2ccccc2)nc1)[C@H]1Oc2c(OC1)cccc2
70216,O([C@H](C(=O)NC=1C(=O)N(N(C)C=1C)c1ccccc1)C)C(=O)c1cc(O)ccc1
70217,S(=O)(=O)(C)c1c(C(=O)NCCc2c3c([nH]c2)cccc3)cccc1
70218,O=C(NCC(=O)N1[C@@H](C(=O)Nc2ccccc2)CCC1)Cc1ccccc1
70219,O=C(NCCc1c2c([nH]c1)cccc2)C=1C(=O)c2c(OC=1)cccc2
70220,Fc1c(NC(=O)C(=O)NCCc2c3c(C)cccc3[nH]c2)cccc1
70221,O=C(N(Cc1cn(Cc2ccccc2)nc1)C)Cn1nc(-c2sccc2)nn1
70222,FC(F)(F)Oc1ccc(CNC(=O)CNC(=O)NCc2ccc(F)cc2)cc1
70223,O=C(Nc1[nH]c2c(n1)cccc2)CCc1c2c([nH]c1)cccc2
70224,O=C(NCCc1c2c([nH]c1)cccc2)C=1C(=O)NC2=C(C=1)CCC2
70225,O=C([O-])[C@@H](NC(=O)CC[C@@H]1O[C@@H](C)CC1)c1ccccc1
70226,O=C(Nc1cc2C(=O)N3C(=Nc2cc1)CCC3)CCCOCCc1ccccc1
70227,O=C([O-])[C@@H](NC(=O)[C@@H]1[C@H](C)Oc2c(O1)cccc2)CCC
70228,O=C(OCc1c(C(=O)N)cccc1)[C@H]1OC(=O)c2c(cccc2)C1
70229,Fc1cc2[nH]cc(CCNC(=O)C=3C(=O)Oc4c(cccc4)C=3)c2cc1
70230,O=C(OCC1c2c(-c3c1cccc3)cccc2)N([C@H](C(=O)[O-])C)C
70231,O=C(OCC1c2c(-c3c1cccc3)cccc2)N[C@@H](C(=O)[O-])CC(=O)N
70232,O=C1N(Cc2nc(N)nc(N)n2)C(=O)N[C@]21c1c(OCC2)cccc1
70233,O=C([O-])[C@@H](NC(=O)C[C@@H]1c2c(OCC1)cccc2)C
70234,O=C([O-])[C@@H](NC(=O)[C@@H]1[C@H](C)Oc2c(O1)cccc2)CC
70235,O=C(NCCc1c2c([nH]c1)cccc2)c1c2n(nc1)C=CC=N2
70236,Fc1c(F)c(NC(=O)CNC(=O)CNC(=O)c2cc(C)c(C)cc2)ccc1F
70237,FC(F)(F)c1cc(CN2C(=O)C[C@@H](C(=O)[N-]O[C@H]3OCCCC3)C2)ccc1
70238,O=C(NCc1[nH]ccn1)CNC(=O)c1cc2c(cc1)cccc2
70239,O=C(CCc1c2c([nH]c1)cccc2)N1C[C@@H](C(=O)[O-])OCC1
70240,O=C(NCc1nc(-c2ccccc2)on1)CCc1c2c([nH]c1)cccc2
70241,O(C[C@@H](O)CN1C(=O)[C@](CC(C)C)(c2ccccc2)NC1=O)Cc1ccccc1
70242,O=C(NCCc1c2ncccc2ccc1)NC[C@@H]1CS(=O)(=O)CC1
70243,O=C(NC[C@@H](O)c1ccccc1)NC[C@@H]1COc2c(cccc2)C1
70244,Fc1cc(CCCNC(=O)N[C@@H]2CN(C(=O)NCC)CC2)ccc1
70245,O=C(NC[C@@](O)([C@H](CC)C)C)CCCC1=Nc2c(C(=O)N1)cccc2
70246,Fc1cc(OC[C@@H](NC(=O)NC[C@@H](O)c2sccc2)C)ccc1
70247,Fc1cc(OC[C@H](O)CNC(=O)N[C@H](C)c2sccc2)ccc1
70248,S(CCNC(=O)NC[C@@H]1C[C@H](O)CC1)c1ccc(C)cc1
70249,Clc1cc(CCCNC(=O)N[C@H]2[C@H](C)CCNC2=O)ccc1
70250,S(=O)(=O)(CC)N1CCC(NC(=O)NCCOc2cc(C)ccc2)CC1
70251,Fc1c(F)cccc1CNc1ccc(C(=O)N[C@@H](CO)C)cc1
70252,O=C(NC[C@@H](O)COc1c2c(ccc1)cccc2)CNC(=O)C1CCCC1
70253,Fc1cc(OC[C@H](O)CNC(=O)c2c(O)cccc2)ccc1
70254,O=C(NCCCc1ccc(O)cc1)N1C[C@@H](CCC)OCC1
70255,O=C(NCCCn1c2c(cc1)cccc2)N[C@@H]1[C@H](C)CCCC1
70256,O=C(NCCCc1ccc(O)cc1)N[C@H]1[C@@H](c2ccccc2)OCC1
70257,O=C(NCCC[N+@H]1Cc2c(cccc2)CC1)N[C@H]1[C@@H](O)CCCC1
70258,S(CCCNC(=O)[C@H](NC1=NS(=O)(=O)c2c1cccc2)C)c1ccccc1
70259,O=C(NCCCc1c(C)cccc1)N[C@@H]1CN(C(=O)CC)CC1
70260,O=C(N[C@@H](C)c1ccccc1)NCCCn1c2c(nc1)cccc2
70261,O=C(N[C@H](CCc1ccc(O)cc1)C)N[C@@H]1CC2(OCC1)CCCC2
70262,O=C(NC[C@H](O)C1CCCC1)CCCC1=Nc2c(C(=O)N1)cccc2
70263,Clc1cc([C@H](O)CNC(=O)NCCNc2ncccn2)ccc1
70264,O=C(NC[C@@](O)(C)c1occc1)NCCCn1c2c(nc1)cccc2
70265,Clc1c([C@@H](NC(=O)CCCC2=Nc3c(C(=O)N2)cccc3)C)cccc1
70266,Clc1cc(OCCNC(=O)NCC[C@H](O)C(F)(F)F)ccc1
70267,O=C(NC[C@@H](O)COCc1ccccc1)c1nc(C)n2c1C=CC=C2
70268,O=C([O-])[C@H](NC(=O)c1n(C)ncc1C(=O)[O-])Cc1c2c([nH]c1)cccc2
70269,S(CC[C@@H](NC(=O)CCCc1c2c([nH]c1)cccc2)C(=O)[O-])C
70270,O=C(N[C@H](C(=O)[O-])C)NCCc1c2c([nH]c1)cccc2
70271,O=C([O-])[C@@H](NC(=O)CCc1c2c([nH]c1)cccc2)CO
70272,P(=O)([O-])([O-])CC[C@@H](NC(=O)Cc1ccccc1)C(=O)[O-]
70273,O=C([O-])[C@H](NC(=O)CCCc1c2c([nH]c1)cccc2)[C@@H](O)C
70274,O=C([O-])[C@H](NC(=O)CCCc1c2c([nH]c1)cccc2)C(C)C
70275,O=C(NCCc1c2c([nH]c1)cccc2)c1nc2c(cc1)cccc2
70276,O=C([O-])[C@@H]1[C@@H](C(=O)NCCc2c(C)[nH]c3c2cccc3)CC=CC1
70277,O=C(NCCc1c2c([nH]c1)ccc(OC)c2)CCc1onc(-c2ccccc2)n1
70278,O=C([O-])[C@@H](NC(=O)CCc1c2c([nH]c1)cccc2)[C@H](O)C
70279,O=C([O-])[C@@H](NC(=O)CCc1c2c([nH]c1)cccc2)C
70280,Clc1c(CNC(=O)N[C@H](C(=O)[O-])CCSC)cccc1
70281,O=C([O-])[C@H](NC(=O)[C@H]1Oc2c(OC1)cccc2)C
